Country,Region
Canada,NorthAmerican
Turkey,MiddleEastern
Caribbean,LatinAmerican
Bangladesh,SouthAsian
Lebanon,MiddleEastern
North-African,African
Indian,SouthAsian
Italy,SouthernEuropean
Russian,EasternEuropean
Israel,MiddleEastern
Korea,EastAsian
Iran,MiddleEastern
Eastern-Europe,EasternEuropean
Jewish,MiddleEastern
South-African,African
Vietnamese,SoutheastAsian
UK-and-Ireland,WesternEuropean
French,WesternEuropean
Mediterranean,SouthernEuropean
Central_SouthAmerican,LatinAmerican
Cajun_Creole,NorthAmerican
Belgium,WesternEuropean
China,EastAsian
Germany,WesternEuropean
South-America,LatinAmerican
Spain,SouthernEuropean
Netherlands,WesternEuropean
Scandinavia,NorthernEuropean
Philippines,SoutheastAsian
Indonesia,SoutheastAsian
East-African,African
Scandinavian,NorthernEuropean
Greek,SouthernEuropean
American,NorthAmerican
Vietnam,SoutheastAsian
Switzerland,WesternEuropean
West-African,African
France,WesternEuropean
Thai,SoutheastAsian
Thailand,SoutheastAsian
Italian,SouthernEuropean
Pakistan,SouthAsian
Mexican,LatinAmerican
Portugal,SouthernEuropean
Chinese,EastAsian
Mexico,LatinAmerican
German,WesternEuropean
Spanish_Portuguese,SouthernEuropean
India,SouthAsian
Japanese,EastAsian
Moroccan,African
Southern_SoulFood,NorthAmerican
Malaysia,SoutheastAsian
Austria,WesternEuropean
English_Scottish,WesternEuropean
Southwestern,NorthAmerican
Japan,EastAsian
